Date,Open,High,Low,Close,Adj Close,Volume,percentage change
2021-01-04,719.460022,744.489990,717.190002,729.770020,729.770020,48638200,1.4330188870452714
2021-01-05,723.659973,740.840027,719.200012,735.109985,735.109985,32245200,1.5822364683972947
2021-01-06,758.489990,774.000000,749.099976,755.979980,755.979980,44700000,-0.3309219677375148
2021-01-07,777.630005,816.989990,775.200012,816.039978,816.039978,51498900,4.939363547320944
2021-01-08,856.000000,884.489990,838.390015,880.020020,880.020020,75055500,2.8060771028037435
2021-01-11,849.400024,854.429993,803.619995,811.190002,811.190002,59301600,-4.498471970846092
2021-01-12,831.000000,868.000000,827.340027,849.440002,849.440002,46270700,2.2190134777376715
2021-01-13,852.760010,860.469971,832.000000,854.409973,854.409973,33312500,0.19348503455269564
2021-01-14,843.390015,863.000000,838.750000,845.000000,845.000000,31266300,0.19089448195566455
2021-01-15,852.000000,859.900024,819.099976,826.159973,826.159973,38777600,-3.0328670187793385
2021-01-19,837.799988,850.000000,833.000000,844.549988,844.549988,25367000,0.8056815584485304
2021-01-20,858.739990,859.500000,837.280029,850.450012,850.450012,25665900,-0.9653653138943743
2021-01-21,855.000000,855.719971,841.419983,844.989990,844.989990,20521100,-1.170761403508768
2021-01-22,834.309998,848.000000,828.619995,846.640015,846.640015,20066500,1.4778699799304094
2021-01-25,855.000000,900.400024,838.820007,880.799988,880.799988,41173400,3.017542456140349
2021-01-26,891.380005,895.900024,871.599976,883.090027,883.090027,23131600,-0.9300161495096606
2021-01-27,870.349976,891.500000,858.659973,864.159973,864.159973,27334000,-0.7112084989590364
2021-01-28,820.000000,848.000000,801.000000,835.429993,835.429993,26378000,1.8817064634146303
2021-01-29,830.000000,842.409973,780.099976,793.530029,793.530029,34990800,-4.393972409638552
2021-02-01,814.289978,842.000000,795.559998,839.809998,839.809998,25391400,3.1340211336851223
2021-02-02,844.679993,880.500000,842.200012,872.789978,872.789978,24346200,3.3278857357759213
2021-02-03,877.020020,878.080017,853.059998,854.690002,854.690002,18343500,-2.546124089618843
2021-02-04,855.000000,856.500000,833.419983,849.989990,849.989990,15812700,-0.585966081871341
2021-02-05,845.000000,864.770020,838.969971,852.229980,852.229980,18566600,0.8556189349112373
2021-02-08,869.669983,877.770020,854.750000,863.419983,863.419983,20161700,-0.7186634151083492
2021-02-09,855.119995,859.799988,841.750000,849.460022,849.460022,15157700,-0.6618922529112462
2021-02-10,843.640015,844.820007,800.020020,804.820007,804.820007,36216100,-4.601489653143102
2021-02-11,812.440002,829.880005,801.729980,811.659973,811.659973,21622800,-0.09601065901233322
2021-02-12,801.260010,817.330017,785.330017,816.119995,816.119995,23768300,1.8545771428178541
2021-02-16,818.000000,821.000000,792.440002,796.219971,796.219971,19802300,-2.66259523227384
2021-02-17,779.090027,799.840027,762.010010,798.150024,798.150024,25996500,2.4464434583244983
2021-02-18,780.900024,794.690002,776.270020,787.380005,787.380005,17957100,0.8298092970733412
2021-02-19,795.000000,796.789978,777.369995,781.299988,781.299988,18958300,-1.7232719496855367
